roundnr;stepnr;Player;A;B;C;Total;NULL index;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner;ecset;wormset
30;59;Player 1;10;0;0;-94;[2, 3];1;1;True;;0;EC:Input:2 digit number<50;"{' WC Name: B,C=0; '}";;{0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30};{0, 3}
31;60;Player 0;25;-10;75;0;[0, 2, 3];19;1;True;;0;EC:Input:C =75;{' WC Name: B=-10 '};;{0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30};{0, 8, 3}
31;61;Player 1;10;30;0;-94;[2, 3];12;0;True;;0;EC:Input:B =30;;;{0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30};{0, 8, 3}
32;62;Player 0;84;-10;75;0;[2, 3];2;1;True;;0;EC:Input:2 digit number<90;"{' WC Name: C=NULL; '}";;{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30};{0, 8, 2, 3}
32;63;Player 1;10;30;33;-94;[3];0;1;True;['CPU1Captured'];0;EC:Input:2 digit number;{' WC Name: Capture CPU '};;{0, 28, 29, 30};{0, 2, 3, 5, 8}
33;64;Player 0;50;-10;75;0;[2, 3];7;0;True;;0;EC:Input:A =50;;;{0, 7, 28, 29, 30};{0, 2, 3, 5, 8}
33;65;Player 1;10;30;33;-94;[3];0;0;False;['CPU1Captured'];1;;;;{0, 7, 28, 29, 30};{0, 2, 3, 5, 8}
34;66;Player 0;0;-1;75;0;[2, 3];21;1;True;;0;EC:Task: T = A*B;{' WC Name: A=0,B=-1,C=N '};;{0, 7, 21, 28, 29, 30};{0, 2, 3, 5, 7, 8}
34;67;Player 1;10;30;33;-94;[3];0;0;False;['CPU1Captured'];2;;;;{0, 7, 21, 28, 29, 30};{0, 2, 3, 5, 7, 8}
35;68;Player 0;0;50;75;0;[2, 3];13;0;True;;0;EC:Input:B =50;;;{0, 7, 13, 21, 28, 29, 30};{0, 2, 3, 5, 7, 8}
35;69;Player 1;10;30;33;-200;[3];24;2;True;;0;EC:Task: T += sum all/2;{' WC Name: T -=100 ', ' WC Name: T =xx00 '};;{0, 7, 13, 21, 24, 28, 29, 30};{0, 2, 3, 4, 5, 6, 7, 8}
